Node Number	Directional Deformation (m)
1	0.
2	0.
3	0.
4	0.
5	6.5983e-002
6	0.25648
7	0.52733
8	0.8461
9	1.1861
10	1.5252
11	1.8446
12	2.1287
13	2.3644
14	2.5417
15	2.6526
16	2.6922
17	2.658
18	2.55
19	2.3705
20	2.1241
21	1.8176
22	1.4594
23	1.0598
24	0.62991
25	0.18214
26	-0.27068
27	-0.71559
28	-1.1398
29	-1.5309
30	-1.8778
31	-2.1705
32	-2.4004
33	-2.5608
34	-2.6473
35	-2.6572
36	-2.5905
37	-2.449
38	-2.237
39	-1.9604
40	-1.6274
41	-1.2474
42	-0.8315
43	-0.39154
44	5.9772e-002
45	0.50944
46	0.94458
47	1.3527
48	1.7219
49	2.0415
50	2.3023
51	2.4969
52	2.6195
53	2.6666
54	2.6367
55	2.5308
56	2.3518
57	2.1049
58	1.7973
59	1.4378
60	1.0371
61	0.60669
62	0.15892
63	-0.29326
64	-0.7369
65	-1.1592
66	-1.548
67	-1.8921
68	-2.1816
69	-2.4081
70	-2.565
71	-2.6477
72	-2.6538
73	-2.5829
74	-2.4367
75	-2.2193
76	-1.9365
77	-1.5962
78	-1.2076
79	-0.78121
80	-0.32821
81	0.13978
82	0.61117
83	1.0752
84	1.5221
85	1.9441
86	2.3361
87	2.6964
88	3.0278
89	0.
90	3.3394
91	0.
92	0.
93	0.
94	0.
95	0.
96	0.
97	0.
98	6.5999e-002
99	0.2565
100	0.52732
101	0.8461
102	1.1861
103	1.5252
104	1.8446
105	2.1287
106	2.3644
107	2.5417
108	2.6526
109	2.6923
110	2.658
111	2.55
112	2.3705
113	2.1241
114	1.8176
115	1.4594
116	1.0598
117	0.62991
118	0.18213
119	-0.27068
120	-0.71559
121	-1.1398
122	-1.5309
123	-1.8778
124	-2.1705
125	-2.4004
126	-2.5608
127	-2.6473
128	-2.6572
129	-2.5905
130	-2.449
131	-2.237
132	-1.9604
133	-1.6274
134	-1.2474
135	-0.8315
136	-0.39155
137	5.9762e-002
138	0.50945
139	0.94459
140	1.3527
141	1.7219
142	2.0415
143	2.3023
144	2.4969
145	2.6194
146	2.6666
147	2.6367
148	2.5308
149	2.3518
150	2.1049
151	1.7973
152	1.4378
153	1.0371
154	0.6067
