Node Number	Directional Deformation (m)
1	0.
2	0.
3	0.
4	0.
5	5.0995e-005
6	5.3544e-004
7	1.5348e-003
8	3.0767e-003
9	5.1676e-003
10	7.8051e-003
11	1.0982e-002
12	1.469e-002
13	1.8918e-002
14	2.3656e-002
15	2.8893e-002
16	3.4618e-002
17	4.082e-002
18	4.7488e-002
19	5.4613e-002
20	6.2183e-002
21	7.0188e-002
22	7.8619e-002
23	8.7465e-002
24	9.6717e-002
25	0.10637
26	0.1164
27	0.12681
28	0.13759
29	0.14873
30	0.16021
31	0.17204
32	0.18419
33	0.19667
34	0.20946
35	0.22255
36	0.23594
37	0.24961
38	0.26356
39	0.27777
40	0.29225
41	0.30698
42	0.32195
43	0.33715
44	0.35258
45	0.36823
46	0.38408
47	0.40014
48	0.41639
49	0.43282
50	0.44944
51	0.46622
52	0.48316
53	0.50026
54	0.51751
55	0.5349
56	0.55242
57	0.57006
58	0.58783
59	0.60571
60	0.6237
61	0.64178
62	0.65996
63	0.67823
64	0.69658
65	0.715
66	0.7335
67	0.75206
68	0.77068
69	0.78936
70	0.80808
71	0.82685
72	0.84566
73	0.86451
74	0.88339
75	0.9023
76	0.92123
77	0.94019
78	0.95916
79	0.97815
80	0.99715
81	1.0162
82	1.0352
83	1.0542
84	1.0732
85	1.0923
86	1.1113
87	1.1303
88	1.1494
89	0.
90	1.1684
91	0.
92	0.
93	0.
94	0.
95	0.
96	0.
97	0.
98	5.0995e-005
99	5.3544e-004
100	1.5348e-003
101	3.0767e-003
102	5.1676e-003
103	7.8051e-003
104	1.0982e-002
105	1.469e-002
106	1.8918e-002
107	2.3656e-002
108	2.8893e-002
109	3.4618e-002
110	4.082e-002
111	4.7488e-002
112	5.4613e-002
113	6.2183e-002
114	7.0188e-002
115	7.8619e-002
116	8.7465e-002
117	9.6717e-002
118	0.10637
119	0.1164
120	0.12681
121	0.13759
122	0.14873
123	0.16021
124	0.17204
125	0.18419
126	0.19667
127	0.20946
128	0.22255
129	0.23594
130	0.24961
131	0.26356
132	0.27777
133	0.29225
134	0.30698
135	0.32195
136	0.33715
137	0.35258
138	0.36823
139	0.38408
140	0.40014
141	0.41639
142	0.43282
143	0.44944
144	0.46622
145	0.48316
